Position,URL,Item
1,https://assets.ajio.com/medias/sys_master/root/20230321/6GLV/6419bc23f997dde6f42277b7/gufrina_black_floral_tunic_with_bishop_sleeves_.jpg,GUFRINA Floral Tunic with Bishop Sleeves
2,https://assets.ajio.com/medias/sys_master/root/20210403/EvqN/60685d417cdb8c1f1474767e/pannkh_navy_blue_novelty_top.jpg,Pannkh Novelty Top
3,https://assets.ajio.com/medias/sys_master/root/20230213/jata/63ea114ef997dde6f4a03940/hawt_navy_blue_floral_embroidered_v-neck_tunic.jpg,HAWT Floral Embroidered V-Neck Tunic
4,https://assets.ajio.com/medias/sys_master/root/20230109/oH1P/63bbd100aeb269c651cb74fd/ives_navy_blue_floral_print_button-down_top_.jpg,Ives Floral Print Button-Down Top
5,https://assets.ajio.com/medias/sys_master/root/20230123/rnWN/63ce6315aeb269c651f291b5/hawt_black_flared_top_with_embroidered_yoke.jpg,HAWT Flared Top with Embroidered Yoke
6,https://assets.ajio.com/medias/sys_master/root/20230321/g9p7/6419f33c907deb497a983d8c/gufrina_sea_green_tie_%26_dye_tailored_fit_tunic.jpg,GUFRINA Tie & Dye Tailored Fit Tunic
7,https://assets.ajio.com/medias/sys_master/root/20221104/dnrr/636526a1aeb269659c72c6bb/tior_white_floral_print_square-neck_peplum_top.jpg,Tior Floral Print Square-Neck Peplum Top
8,https://assets.ajio.com/medias/sys_master/root/20221130/nzbN/63867877aeb269659cc21b04/kibo_pink_micro_print_v-neck_top.jpg,Kibo Micro Print V-neck Top
9,https://assets.ajio.com/medias/sys_master/root/20221104/BP7p/63654c33aeb269659c738750/kibo_white_floral_print_v-neck_top.jpg,Kibo Floral Print V-Neck Top
10,https://assets.ajio.com/medias/sys_master/root/20221228/9Oxp/63ab5e47f997ddfdbdfe2c7f/wedani_black_sleeveless_high-neck_tank_top.jpg,Wedani Sleeveless High-Neck Tank Top
11,https://assets.ajio.com/medias/sys_master/root/20221124/Nh7D/637eaef2aeb269659caf618e/wedani_pink_floral_print_round-neck_top.jpg,Wedani Floral Print Round-Neck Top
